title,description,publisheddate,section,site
LGBT rights: Malaysia women caned for attempting to have lesbian sex,"The caning, which took place in a religious court, was witnessed by more than 100 people.",2018-09-03,News,Asia
Radioactive device goes missing in Malaysia,It's not the first time a device like this has vanished but authorities say there's no reason to panic.,2018-08-21,News,Asia
Malaysia ex-PM Najib charged with money laundering,The allegations add to earlier corruption charges as Mr Najib's dramatic fall from power continues.,2018-08-08,News,Asia
Missing Malaysia flight MH370: Aviation chief quits over failings,A report into the Malaysia Airlines flight missing since 2014 found failures by air traffic control.,2018-07-31,News,Asia
Malaysia's ex-PM Najib charged with corruption over 1MDB,"Months after losing an election, Najib Razak is formally accused of embezzling millions of dollars.",2018-07-04,News,Asia
Malaysia 1MDB: Ex-PM Najib arrested by anti-corruption officials,Billions of dollars are unaccounted for from a state fund set up by Najib Razak.,2018-07-03,News,Asia
1MDB: Malaysia's global corruption scandal,Billions of dollars has allegedly been siphoned off from the state-backed investment fund.,2018-07-03,News,Asia
Child marriage involving bride of 11 sparks outrage in Malaysia,"An 11-year-old girl became a 41-year-old man's third wife, prompting calls for a change in the law.",2018-07-01,News,Asia
World Business Report: Malaysia 1MDB: Seized Cash and Goods 'Worth $273m',Malaysian police seized $273m worth of goods from properties linked to ex-PM Najib Razak,2018-06-27,Programmes,BBC World Service
"Malaysia 1MDB: Seized tiaras, cash and Hermes bags 'worth $273m'",Malaysian police took five weeks to tally up luxury goods found at properties linked to the ex-PM.,2018-06-27,News,Asia
World Business Report: Malaysia 1MDB: Seized Cash and Goods 'Worth $273m',Malaysian police seized $273m worth of goods from properties linked to ex-PM Najib Razak,2018-06-27,Programmes,BBC World Service
Malaysia mosque bans tourists after provocative dance,"Two women, believed to be foreign, were filmed dancing in ""inappropriate"" garb on the mosque wall.",2018-06-25,News,Asia
Malaysia's Anwar Ibrahim on Mahathir: 'We have to move on',Malaysiaâs former deputy PM speaks to the BBC about succeeding the man who put him in jail.,2018-06-11,News,Asia
Australia jails man over Malaysia Airlines plane bomb threat,"The device was fake but Malaysia Airlines passengers were ""convinced"" it was real, a judge says.",2018-06-07,News,Australia
